NAME                                VERSION      TYPE                    
parseurl                            1.3.3        npm                     
path-scurry                         2.0.2        npm                     
path-to-regexp                      8.4.2        npm                     
picomatch                           4.0.3        npm                     
postcss-selector-parser             7.1.1        npm                     
pricing-fn                          1.0.0        npm                     
proc-log                            6.1.0        npm                     
proggy                              4.0.0        npm                     
promise-all-reject-late             1.0.1        npm                     
promise-call-limit                  3.0.2        npm                     
promzard                            3.0.1        npm                     
proxy-addr                          2.0.7        npm                     
qrcode-terminal                     0.12.0       npm                     
qs                                  6.15.2       npm                     
range-parser                        1.2.1        npm                     
raw-body                            3.0.2        npm                     
read                                5.0.1        npm                     
read-cmd-shim                       6.0.0        npm                     
router                              2.2.0        npm                     
safer-buffer                        2.1.2        npm     (+1 duplicate)  
scanelf                             1.3.8-r2     apk                     
semver                              7.7.4        npm                     
send                                1.2.1        npm                     
serve-static                        2.2.1        npm                     
setprototypeof                      1.2.0        npm                     
side-channel                        1.1.0        npm                     
side-channel-list                   1.0.1        npm                     
side-channel-map                    1.0.1        npm                     
side-channel-weakmap                1.0.2        npm                     
signal-exit                         4.1.0        npm                     
sigstore                            4.1.0        npm                     
smart-buffer                        4.2.0        npm                     
socks                               2.8.7        npm                     
socks-proxy-agent                   8.0.5        npm                     
spdx-exceptions                     2.5.0        npm                     
spdx-expression-parse               4.0.0        npm                     
spdx-license-ids                    3.0.23       npm                     
ssl_client                          1.37.0-r30   apk                     
ssri                                13.0.1       npm                     
statuses                            2.0.2        npm                     
supports-color                      10.2.2       npm                     
tar                                 7.5.11       npm                     
text-table                          0.2.0        npm                     
tiny-relative-date                  2.0.2        npm                     
tinyglobby                          0.2.15       npm                     
toidentifier                        1.0.1        npm                     
treeverse                           3.0.0        npm                     
tuf-js                              4.1.0        npm                     
type-is                             2.1.0        npm                     
unpipe                              1.0.0        npm                     
util-deprecate                      1.0.2        npm                     
validate-npm-package-name           7.0.2        npm                     
vary                                1.1.2        npm                     
walk-up-path                        4.0.0        npm                     
which                               6.0.1        npm                     
wrappy                              1.0.2        npm                     
write-file-atomic                   7.0.1        npm                     
yallist                             4.0.0        npm     (+1 duplicate)  
yallist                             5.0.0        npm                     
yarn                                1.22.22      npm                     
zlib                                1.3.2-r0     apk                     
